iter	RMSE
0	15.43983838
1	15.17646549
2	14.90013458
3	14.63349295
4	14.39385424
5	14.1700184
6	13.93506599
7	13.72041207
8	13.53119929
9	13.34302581
10	13.12582806
11	12.92207644
12	12.74538249
13	12.55122061
14	12.34766759
15	12.15661232
16	11.99249633
17	11.80176318
18	11.61582613
19	11.44449553
20	11.26459024
21	11.10892135
22	10.93837139
23	10.79534645
24	10.69178284
25	10.55707596
26	10.43062885
27	10.29796352
28	10.14458526
29	10.0240485
30	9.886799733
31	9.749581554
32	9.626696012
33	9.493196001
34	9.390459302
35	9.272635167
36	9.16219328
37	9.041978534
38	8.930358718
39	8.830229416
40	8.733114521
41	8.647498132
42	8.536783873
43	8.438239304
44	8.353076371
45	8.271783149
46	8.189462236
47	8.097940337
48	8.014588237
49	7.944287966
50	7.863603192
51	7.790041366
52	7.714687143
53	7.634126587
54	7.566384635
55	7.497343803
56	7.430163276
57	7.357249683
58	7.297918873
59	7.245727109
60	7.184189485
61	7.126650147
62	7.058543274
63	7.005962213
64	6.947671737
65	6.892361392
66	6.840749766
67	6.792771085
68	6.733352754
69	6.675289345
70	6.632972972
71	6.581362139
72	6.535058853
73	6.484747611
74	6.426191558
75	6.386519984
76	6.34653576
77	6.30490889
78	6.260494279
79	6.207444675
80	6.168431915
81	6.127167261
82	6.085492202
83	6.053863593
84	6.017254957
85	5.983463894
86	5.949290071
87	5.906467764
88	5.87699838
89	5.844994231
90	5.803366856
91	5.771119926
92	5.742999947
93	5.710622408
94	5.68257345
95	5.648436701
96	5.613945913
97	5.58633988
98	5.55205962
99	5.518241207
100	5.496141326
101	5.46193306
102	5.44330461
103	5.416513312
104	5.391591083
105	5.362033783
106	5.337797604
107	5.319317706
108	5.293283046
109	5.261685579
110	5.242483326
111	5.221653134
112	5.197300266
113	5.181371975
114	5.167605149
115	5.144373268
116	5.124282897
117	5.103258153
118	5.082760356
119	5.062272165
120	5.046026941
121	5.02160003
122	5.00053383
123	4.982945262
124	4.969182455
125	4.948239502
126	4.924830453
127	4.903391585
128	4.876099945
129	4.857159451
130	4.83831003
131	4.82025357
132	4.803863117
133	4.789358906
134	4.770498323
135	4.757897739
136	4.745318124
137	4.726299303
138	4.717536973
139	4.704165498
140	4.690046821
141	4.678504717
142	4.666560664
143	4.658603091
144	4.638725384
145	4.624686964
146	4.610518304
147	4.600732477
148	4.580801787
149	4.564551383
150	4.552889503
151	4.54132537
152	4.524281698
153	4.512602198
154	4.494725578
155	4.484303131
156	4.47066181
157	4.456521218
158	4.443419932
159	4.430407934
160	4.42173593
161	4.406311109
162	4.395134743
163	4.375079297
164	4.362335026
165	4.345566712
166	4.337354772
167	4.326988402
168	4.315788131
169	4.308725155
170	4.299403808
171	4.295069943
172	4.276753023
173	4.268661899
174	4.260521811
175	4.246030171
176	4.238087459
177	4.228065777
178	4.213603528
179	4.201445165
180	4.190108689
181	4.177927096
182	4.168018636
183	4.158913063
184	4.146889532
185	4.135228972
186	4.126830696
187	4.121298334
188	4.108448736
189	4.097754365
