iter	Passed	Remaining
0	2	2059
1	2	1489
2	3	1254
3	4	1074
4	4	984
5	5	885
6	6	851
7	6	836
8	7	848
9	8	856
10	9	833
11	9	823
12	10	822
13	11	805
14	12	802
15	12	788
16	14	811
17	14	809
18	15	812
19	16	801
20	16	790
21	17	781
22	18	775
23	18	770
24	19	760
25	20	759
26	21	757
27	21	751
28	22	746
29	22	742
30	23	736
31	24	733
32	25	733
33	25	729
34	26	728
35	27	727
36	27	725
37	28	722
38	29	718
39	29	716
40	30	716
41	31	717
42	32	717
43	32	714
44	33	711
45	34	707
46	34	705
47	35	713
48	36	716
49	37	714
50	38	718
51	39	716
52	39	714
53	40	716
54	41	720
55	42	721
56	43	719
57	44	718
58	44	714
59	45	711
60	46	708
61	46	706
62	47	704
63	48	702
64	48	704
65	49	702
66	50	700
67	50	698
68	51	696
69	52	695
70	53	697
71	54	701
72	55	699
73	55	700
74	56	697
75	57	696
76	57	693
77	59	698
78	60	702
79	60	701
80	62	705
81	62	703
82	63	699
83	63	694
84	64	694
85	65	694
86	66	702
87	68	706
88	68	705
89	69	705
90	70	703
91	71	706
92	72	708
93	73	708
94	74	708
95	75	712
96	76	709
97	77	709
98	77	708
99	79	711
100	80	712
101	81	713
102	81	711
103	83	717
104	84	718
105	85	718
106	85	716
107	86	717
108	87	716
109	88	718
110	89	720
111	90	719
112	91	716
113	92	716
114	92	714
115	93	714
116	94	713
117	95	712
118	95	710
119	96	708
120	97	706
121	97	704
122	98	705
123	99	705
124	100	706
125	101	704
126	102	701
127	102	699
128	103	698
129	105	703
130	106	703
131	106	702
132	107	701
133	108	699
134	109	700
135	110	699
136	111	699
137	111	699
138	112	697
139	113	695
140	113	693
141	114	691
142	115	689
143	116	690
144	116	688
145	118	690
146	118	688
147	119	687
148	120	685
149	120	684
150	121	683
151	122	681
152	122	680
153	123	679
154	124	677
155	124	675
156	125	673
157	126	672
158	126	670
159	127	670
160	128	669
161	129	668
162	129	667
163	130	665
164	131	664
165	131	663
166	132	661
167	133	661
168	134	660
169	135	659
170	135	657
171	136	655
172	136	653
173	137	651
174	138	652
175	139	651
176	139	650
177	140	650
178	141	649
179	142	647
180	142	645
181	143	644
182	144	644
183	145	644
184	146	643
185	147	645
186	159	695
187	160	693
188	161	691
189	161	689
190	162	687
191	162	685
192	163	685
193	164	684
194	165	683
195	166	681
196	166	680
197	167	678
198	168	677
199	169	676
200	170	676
201	170	674
202	171	673
203	172	673
204	173	672
205	174	670
206	174	670
207	176	670
208	176	669
209	177	667
210	178	665
211	178	663
212	179	662
213	179	660
214	180	659
215	181	658
216	182	657
217	183	656
218	183	654
219	184	653
220	185	652
221	185	650
222	186	649
223	187	649
224	188	648
225	189	648
226	189	646
227	190	645
228	191	644
229	191	642
230	192	641
231	193	640
232	194	639
233	195	638
234	195	637
235	196	636
236	197	635
237	198	634
238	199	634
239	199	632
240	200	632
241	201	630
242	202	629
243	202	627
244	203	625
245	204	625
246	205	625
247	205	624
248	207	624
249	207	622
250	208	621
251	209	620
252	209	619
253	210	619
254	211	618
255	212	617
256	213	616
257	213	614
258	214	613
259	215	612
260	215	611
261	216	610
262	217	609
263	218	608
264	218	607
265	219	606
266	220	605
267	221	604
268	222	603
269	223	603
270	224	603
271	224	602
272	225	601
273	226	599
274	227	599
275	228	599
276	229	598
277	229	597
278	230	596
279	231	594
280	231	593
281	233	594
282	234	594
283	235	593
284	236	593
285	237	592
286	237	590
287	238	590
288	239	589
289	240	588
290	241	587
291	241	586
292	242	585
293	243	584
294	243	582
295	244	581
296	245	581
297	246	580
298	247	580
299	248	579
300	249	578
301	250	578
302	250	576
303	251	576
304	252	575
305	253	574
306	253	573
307	254	571
308	255	570
309	255	569
310	256	568
311	257	567
312	258	566
313	258	565
314	259	564
315	260	563
316	260	562
317	262	562
318	263	561
319	263	560
320	264	559
321	265	558
322	266	557
323	266	556
324	267	555
325	268	555
326	269	554
327	270	554
328	271	552
329	271	551
330	272	550
331	273	549
332	273	548
333	275	548
334	276	548
335	277	547
336	277	546
337	278	545
338	279	545
339	280	544
340	281	543
341	281	542
342	282	541
343	283	539
344	283	538
345	284	537
346	285	536
347	286	535
348	286	534
349	287	533
350	288	532
351	288	531
352	289	530
353	290	529
354	291	529
355	292	528
356	292	527
357	293	526
358	294	525
359	294	523
360	295	522
361	296	521
362	297	521
363	298	521
364	298	520
365	299	518
366	300	517
367	300	516
368	301	515
369	302	514
370	303	513
371	303	512
372	304	511
373	304	510
374	305	509
375	306	507
376	306	506
377	307	505
378	308	504
379	309	504
380	309	503
381	310	502
382	311	501
383	311	500
384	312	499
385	313	498
386	314	497
387	315	497
388	315	496
389	317	496
390	318	495
391	318	494
392	319	493
393	320	492
394	320	491
395	321	490
396	322	489
397	322	488
398	323	487
399	324	486
400	324	485
401	325	484
402	326	484
403	327	483
404	328	482
405	328	481
406	329	480
407	330	479
408	330	478
409	331	477
410	332	476
411	333	475
412	334	474
413	334	473
414	335	472
415	335	471
416	336	470
417	337	469
418	338	469
419	340	469
420	340	468
421	341	467
422	342	466
423	342	465
424	343	464
425	344	464
426	345	463
427	346	462
428	347	462
429	347	460
430	348	460
431	349	458
432	349	458
433	350	457
434	351	456
435	352	456
436	353	455
437	353	454
438	354	453
439	355	452
440	356	451
441	357	450
442	357	450
443	358	449
444	359	448
445	360	447
446	360	446
447	361	445
448	362	444
449	363	443
450	363	442
451	364	441
452	364	440
453	365	440
454	366	439
455	367	438
456	368	437
457	368	436
458	369	435
459	370	434
460	370	433
461	371	432
462	372	431
463	373	431
464	373	430
465	374	429
466	375	428
467	376	427
468	376	426
469	377	425
470	378	425
471	379	424
472	380	423
473	380	422
474	381	421
475	382	420
476	383	419
477	383	419
478	384	418
479	385	417
480	386	416
481	386	415
482	387	414
483	388	414
484	389	413
485	390	412
486	391	412
487	392	411
488	392	410
489	393	409
490	394	408
491	395	407
492	395	406
493	396	406
494	397	405
495	398	404
496	398	403
497	399	402
498	400	402
499	401	401
500	402	400
501	402	399
502	403	398
503	404	397
504	405	397
505	405	396
506	407	395
507	407	395
508	408	394
509	409	393
510	409	392
511	410	391
512	411	390
513	411	389
514	412	388
515	413	387
516	414	386
517	414	385
518	415	384
519	415	383
520	416	383
521	417	382
522	418	381
523	419	380
524	419	379
525	420	379
526	421	378
527	421	377
528	422	376
529	423	375
530	424	374
531	425	374
532	425	373
533	426	372
534	427	371
535	427	370
536	428	369
537	429	368
538	430	367
539	430	367
540	431	366
541	432	365
542	432	364
543	433	363
544	434	362
545	435	362
546	436	361
547	437	360
548	437	359
549	438	358
550	439	357
551	439	356
552	440	356
553	441	355
554	442	354
555	443	353
556	443	353
557	444	352
558	445	351
559	446	350
560	447	349
561	448	349
562	449	348
563	449	347
564	450	346
565	451	345
566	452	345
567	453	344
568	453	343
569	454	343
570	455	342
571	456	341
572	456	340
573	457	339
574	458	338
575	459	337
576	459	337
577	460	336
578	461	335
579	461	334
580	462	333
581	463	332
582	464	331
583	465	331
584	466	330
585	466	329
586	467	328
587	467	327
588	468	326
589	469	326
590	470	325
591	471	325
592	472	324
593	473	323
594	473	322
595	474	321
596	475	321
597	476	320
598	477	319
599	478	318
600	478	317
601	479	316
602	480	316
603	481	315
604	482	315
605	484	314
606	484	313
607	486	313
608	486	312
609	487	311
610	488	311
611	489	310
612	490	309
613	490	308
614	491	307
615	492	306
616	493	306
617	493	305
618	494	304
619	495	303
620	495	302
621	496	301
622	497	300
623	497	300
624	498	299
625	499	298
626	500	297
627	500	296
628	501	295
629	502	294
630	502	294
631	503	293
632	504	292
633	505	291
634	506	290
635	506	290
636	507	289
637	507	288
638	508	287
639	509	286
640	510	285
641	511	285
642	511	284
643	512	283
644	513	282
645	513	281
646	514	280
647	515	279
648	516	279
649	516	278
650	517	277
651	518	276
652	518	275
653	520	275
654	520	274
655	521	273
656	522	272
657	523	272
658	524	271
659	524	270
660	525	269
661	526	268
662	527	268
663	528	267
664	528	266
665	529	265
666	530	264
667	530	263
668	531	263
669	532	262
670	533	261
671	534	260
672	535	260
673	536	259
674	536	258
675	537	257
676	538	256
677	539	255
678	539	255
679	540	254
680	541	253
681	541	252
682	542	251
683	543	251
684	544	250
685	544	249
686	545	248
687	546	247
688	546	246
689	547	246
690	548	245
691	548	244
692	549	243
693	550	242
694	551	241
695	551	241
696	552	240
697	553	239
698	553	238
699	554	237
700	555	237
701	556	236
702	557	235
703	558	234
704	559	233
705	559	233
706	560	232
707	561	231
708	562	230
709	563	230
710	564	229
711	564	228
712	565	227
713	566	226
714	567	226
715	567	225
716	568	224
717	569	223
718	570	222
719	570	221
720	571	221
721	572	220
722	573	219
723	573	218
724	574	217
725	575	217
726	575	216
